date,sh510300,sh510500,sh511880,sh512100,sh518880,sh588000,sz159915
2020-11-16,4.482,5.757,91.461,2.518,3.888,1.465,2.62
2020-11-17,4.473,5.716,91.476,2.485,3.881,1.436,2.572
2020-11-18,4.466,5.71,91.477,2.491,3.856,1.424,2.534
2020-11-19,4.508,5.744,91.474,2.504,3.837,1.438,2.556
2020-11-20,4.523,5.796,91.486,2.524,3.843,1.435,2.576
2020-11-23,4.581,5.842,91.495,2.545,3.851,1.422,2.593
2020-11-24,4.549,5.84,91.504,2.535,3.755,1.416,2.582
2020-11-25,4.487,5.741,91.519,2.494,3.714,1.393,2.528
2020-11-26,4.494,5.723,91.52,2.474,3.718,1.39,2.522
2020-11-27,4.565,5.748,91.532,2.483,3.72,1.392,2.532
2020-11-30,4.54,5.702,91.549,2.469,3.628,1.391,2.541
2020-12-01,4.651,5.8,91.548,2.507,3.653,1.409,2.602
2020-12-02,4.64,5.805,91.556,2.51,3.707,1.414,2.593
2020-12-03,4.638,5.826,91.569,2.504,3.748,1.417,2.619
2020-12-04,4.649,5.849,91.596,2.526,3.754,1.411,2.637
2020-12-07,4.605,5.804,91.602,2.518,3.745,1.412,2.628
2020-12-08,4.589,5.796,91.605,2.513,3.8,1.408,2.646
2020-12-09,4.529,5.7,91.606,2.469,3.778,1.38,2.598
2020-12-10,4.519,5.71,91.609,2.469,3.74,1.383,2.627
2020-12-11,4.463,5.611,91.63,2.433,3.739,1.396,2.601
2020-12-14,4.507,5.655,91.639,2.455,3.74,1.413,2.641
2020-12-15,4.522,5.661,91.65,2.463,3.769,1.406,2.667
2020-12-16,4.532,5.639,91.654,2.439,3.793,1.388,2.667
2020-12-17,4.603,5.712,91.626,2.466,3.812,1.406,2.694
2020-12-18,4.574,5.691,91.652,2.461,3.838,1.403,2.688
2020-12-21,4.619,5.788,91.659,2.504,3.879,1.43,2.778
2020-12-22,4.542,5.669,91.686,2.455,3.825,1.403,2.718
2020-12-23,4.583,5.702,91.695,2.472,3.818,1.417,2.745
2020-12-24,4.583,5.625,91.713,2.442,3.832,1.393,2.726
2020-12-25,4.625,5.681,91.717,2.452,3.853,1.394,2.749
2020-12-28,4.639,5.644,91.726,2.444,3.858,1.38,2.745
2020-12-29,4.623,5.618,91.74,2.431,3.837,1.381,2.717
2020-12-30,4.687,5.668,91.734,2.436,3.832,1.403,2.799
2020-12-31,4.796,5.76,91.786,2.488,3.85,1.434,2.866
2021-01-04,4.843,5.865,91.795,2.537,3.902,1.464,2.976
2021-01-05,4.942,5.92,91.811,2.543,3.92,1.468,2.988
2021-01-06,4.991,5.913,91.852,2.515,3.931,1.458,3.003
