date,open,close,high,low,volume,symbol,name
2018-01-02,5.382,5.441,5.443,5.371,525742.0,sh510500,中证500ETF
2018-01-03,5.442,5.478,5.491,5.432,351533.0,sh510500,中证500ETF
2018-01-04,5.478,5.501,5.501,5.466,428531.0,sh510500,中证500ETF
2018-01-05,5.502,5.511,5.524,5.48,292916.0,sh510500,中证500ETF
2018-01-08,5.512,5.538,5.545,5.489,278509.0,sh510500,中证500ETF
2018-01-09,5.535,5.533,5.537,5.514,231363.0,sh510500,中证500ETF
2018-01-10,5.53,5.503,5.53,5.467,293337.0,sh510500,中证500ETF
2018-01-11,5.487,5.517,5.526,5.47,206756.0,sh510500,中证500ETF
2018-01-12,5.509,5.488,5.52,5.478,318596.0,sh510500,中证500ETF
2018-01-15,5.474,5.362,5.484,5.347,427236.0,sh510500,中证500ETF
2018-01-16,5.358,5.392,5.439,5.354,464684.0,sh510500,中证500ETF
2018-01-17,5.393,5.359,5.395,5.309,607058.0,sh510500,中证500ETF
2018-01-18,5.348,5.381,5.406,5.345,309543.0,sh510500,中证500ETF
2018-01-19,5.374,5.365,5.415,5.358,340980.0,sh510500,中证500ETF
2018-01-22,5.358,5.438,5.447,5.338,677732.0,sh510500,中证500ETF
2018-01-23,5.443,5.446,5.465,5.423,420143.0,sh510500,中证500ETF
2018-01-24,5.448,5.49,5.5,5.426,851393.0,sh510500,中证500ETF
2018-01-25,5.492,5.482,5.516,5.48,567946.0,sh510500,中证500ETF
2018-01-26,5.48,5.487,5.501,5.467,331980.0,sh510500,中证500ETF
2018-01-29,5.482,5.411,5.504,5.399,498713.0,sh510500,中证500ETF
2018-01-30,5.411,5.41,5.432,5.397,293135.0,sh510500,中证500ETF
2018-01-31,5.392,5.287,5.392,5.284,447349.0,sh510500,中证500ETF
2018-02-01,5.287,5.117,5.313,5.111,864195.0,sh510500,中证500ETF
2018-02-02,5.103,5.114,5.129,4.98,1267488.0,sh510500,中证500ETF
2018-02-05,5.049,5.104,5.129,5.024,541419.0,sh510500,中证500ETF
2018-02-06,5.015,4.856,5.052,4.846,827309.0,sh510500,中证500ETF
2018-02-07,4.94,4.862,4.971,4.781,735215.0,sh510500,中证500ETF
2018-02-08,4.862,4.908,4.933,4.833,676477.0,sh510500,中证500ETF
2018-02-09,4.762,4.706,4.828,4.665,2130361.0,sh510500,中证500ETF
2018-02-12,4.727,4.844,4.873,4.727,698404.0,sh510500,中证500ETF
2018-02-13,4.858,4.877,4.923,4.858,367857.0,sh510500,中证500ETF
2018-02-14,4.882,4.894,4.895,4.849,258543.0,sh510500,中证500ETF
2018-02-22,4.927,5.004,5.006,4.925,380812.0,sh510500,中证500ETF
2018-02-23,5.0,5.012,5.026,4.976,375252.0,sh510500,中证500ETF
2018-02-26,5.042,5.158,5.163,5.037,870130.0,sh510500,中证500ETF
2018-02-27,5.159,5.132,5.168,5.121,580360.0,sh510500,中证500ETF
2018-02-28,5.09,5.134,5.17,5.073,523387.0,sh510500,中证500ETF
2018-03-01,5.124,5.21,5.216,5.085,492662.0,sh510500,中证500ETF
2018-03-02,5.186,5.183,5.203,5.165,353964.0,sh510500,中证500ETF
2018-03-05,5.183,5.176,5.208,5.139,380004.0,sh510500,中证500ETF
2018-03-06,5.184,5.251,5.253,5.179,458173.0,sh510500,中证500ETF
2018-03-07,5.255,5.198,5.255,5.195,359231.0,sh510500,中证500ETF
2018-03-08,5.193,5.248,5.251,5.181,327954.0,sh510500,中证500ETF
2018-03-09,5.25,5.324,5.327,5.242,495397.0,sh510500,中证500ETF
2018-03-12,5.353,5.386,5.392,5.33,1345204.0,sh510500,中证500ETF
2018-03-13,5.386,5.359,5.39,5.348,549054.0,sh510500,中证500ETF
2018-03-14,5.348,5.286,5.36,5.281,584281.0,sh510500,中证500ETF
2018-03-15,5.269,5.276,5.313,5.218,695433.0,sh510500,中证500ETF
2018-03-16,5.28,5.244,5.31,5.242,358217.0,sh510500,中证500ETF
2018-03-19,5.277,5.266,5.301,5.227,344770.0,sh510500,中证500ETF
2018-03-20,5.213,5.269,5.283,5.172,396518.0,sh510500,中证500ETF
2018-03-21,5.275,5.222,5.324,5.22,528006.0,sh510500,中证500ETF
2018-03-22,5.23,5.221,5.263,5.181,334321.0,sh510500,中证500ETF
2018-03-23,5.098,4.93,5.098,4.863,968589.0,sh510500,中证500ETF
2018-03-26,4.869,5.036,5.049,4.827,1542441.0,sh510500,中证500ETF
2018-03-27,5.07,5.159,5.162,5.068,663261.0,sh510500,中证500ETF
2018-03-28,5.076,5.097,5.141,5.076,722665.0,sh510500,中证500ETF
2018-03-29,5.101,5.154,5.161,5.079,811659.0,sh510500,中证500ETF
2018-03-30,5.167,5.227,5.237,5.167,824116.0,sh510500,中证500ETF
2018-04-02,5.242,5.22,5.279,5.212,463298.0,sh510500,中证500ETF
2018-04-03,5.154,5.175,5.188,5.126,493660.0,sh510500,中证500ETF
2018-04-04,5.179,5.13,5.216,5.122,307397.0,sh510500,中证500ETF
2018-04-09,5.124,5.138,5.19,5.076,411243.0,sh510500,中证500ETF
2018-04-10,5.138,5.181,5.185,5.111,513057.0,sh510500,中证500ETF
2018-04-11,5.189,5.191,5.225,5.184,473710.0,sh510500,中证500ETF
2018-04-12,5.189,5.161,5.207,5.147,457910.0,sh510500,中证500ETF
2018-04-13,5.185,5.143,5.206,5.126,462246.0,sh510500,中证500ETF
2018-04-16,5.138,5.126,5.169,5.08,584662.0,sh510500,中证500ETF
2018-04-17,5.135,5.028,5.161,5.019,618083.0,sh510500,中证500ETF
2018-04-18,5.066,5.087,5.108,4.963,951340.0,sh510500,中证500ETF
2018-04-19,5.086,5.113,5.16,5.081,552132.0,sh510500,中证500ETF
2018-04-20,5.11,5.016,5.11,5.002,790266.0,sh510500,中证500ETF
2018-04-23,5.022,4.958,5.048,4.901,729291.0,sh510500,中证500ETF
2018-04-24,4.964,5.071,5.085,4.964,781692.0,sh510500,中证500ETF
2018-04-25,5.063,5.076,5.089,5.049,414102.0,sh510500,中证500ETF
2018-04-26,5.081,4.979,5.085,4.973,577027.0,sh510500,中证500ETF
2018-04-27,5.008,5.002,5.021,4.952,669379.0,sh510500,中证500ETF
2018-05-02,5.013,4.988,5.039,4.953,391063.0,sh510500,中证500ETF
2018-05-03,4.958,5.041,5.05,4.918,859939.0,sh510500,中证500ETF
2018-05-04,5.036,5.037,5.065,5.021,695136.0,sh510500,中证500ETF
2018-05-07,5.04,5.142,5.152,5.04,609601.0,sh510500,中证500ETF
2018-05-08,5.155,5.168,5.169,5.132,383403.0,sh510500,中证500ETF
2018-05-09,5.172,5.146,5.172,5.13,363061.0,sh510500,中证500ETF
2018-05-10,5.148,5.169,5.18,5.117,347788.0,sh510500,中证500ETF
2018-05-11,5.175,5.125,5.179,5.116,316039.0,sh510500,中证500ETF
2018-05-14,5.125,5.099,5.148,5.08,495101.0,sh510500,中证500ETF
2018-05-15,5.103,5.152,5.154,5.09,698137.0,sh510500,中证500ETF
2018-05-16,5.142,5.138,5.168,5.123,457107.0,sh510500,中证500ETF
2018-05-17,5.138,5.103,5.145,5.094,488457.0,sh510500,中证500ETF
2018-05-18,5.1,5.138,5.14,5.064,517295.0,sh510500,中证500ETF
2018-05-21,5.154,5.2,5.214,5.154,872384.0,sh510500,中证500ETF
2018-05-22,5.197,5.222,5.224,5.171,506056.0,sh510500,中证500ETF
2018-05-23,5.219,5.148,5.219,5.142,729503.0,sh510500,中证500ETF
2018-05-24,5.148,5.131,5.165,5.12,373937.0,sh510500,中证500ETF
2018-05-25,5.131,5.057,5.131,5.047,470722.0,sh510500,中证500ETF
2018-05-28,5.054,5.047,5.09,5.013,521797.0,sh510500,中证500ETF
2018-05-29,5.041,4.979,5.071,4.97,472390.0,sh510500,中证500ETF
2018-05-30,4.924,4.856,4.935,4.849,750825.0,sh510500,中证500ETF
2018-05-31,4.883,4.918,4.93,4.846,710125.0,sh510500,中证500ETF
2018-06-01,4.904,4.856,4.911,4.822,685086.0,sh510500,中证500ETF
2018-06-04,4.867,4.855,4.883,4.824,486636.0,sh510500,中证500ETF
2018-06-05,4.853,4.944,4.945,4.853,550145.0,sh510500,中证500ETF
2018-06-06,4.941,4.938,4.944,4.914,1009116.0,sh510500,中证500ETF
2018-06-07,4.95,4.91,4.97,4.894,525575.0,sh510500,中证500ETF
2018-06-08,4.902,4.845,4.903,4.815,711008.0,sh510500,中证500ETF
2018-06-11,4.839,4.813,4.849,4.787,608370.0,sh510500,中证500ETF
2018-06-12,4.815,4.856,4.866,4.778,778656.0,sh510500,中证500ETF
2018-06-13,4.849,4.781,4.849,4.774,648252.0,sh510500,中证500ETF
2018-06-14,4.771,4.773,4.816,4.75,722948.0,sh510500,中证500ETF
2018-06-15,4.772,4.681,4.776,4.631,1168962.0,sh510500,中证500ETF
2018-06-19,4.618,4.36,4.618,4.285,2005047.0,sh510500,中证500ETF
2018-06-20,4.341,4.402,4.429,4.314,1442879.0,sh510500,中证500ETF
2018-06-21,4.403,4.317,4.457,4.309,1940238.0,sh510500,中证500ETF
2018-06-22,4.291,4.378,4.388,4.254,991003.0,sh510500,中证500ETF
2018-06-25,4.404,4.334,4.419,4.331,749641.0,sh510500,中证500ETF
2018-06-26,4.308,4.375,4.394,4.281,948547.0,sh510500,中证500ETF
2018-06-27,4.375,4.311,4.405,4.304,763496.0,sh510500,中证500ETF
2018-06-28,4.307,4.276,4.376,4.271,836407.0,sh510500,中证500ETF
2018-06-29,4.291,4.44,4.449,4.282,1349808.0,sh510500,中证500ETF
2018-07-02,4.439,4.362,4.46,4.316,1125680.0,sh510500,中证500ETF
2018-07-03,4.367,4.412,4.429,4.284,1787770.0,sh510500,中证500ETF
2018-07-04,4.398,4.347,4.398,4.328,952401.0,sh510500,中证500ETF
2018-07-05,4.341,4.221,4.35,4.218,1007082.0,sh510500,中证500ETF
2018-07-06,4.218,4.223,4.299,4.143,1309924.0,sh510500,中证500ETF
2018-07-09,4.244,4.341,4.343,4.243,817787.0,sh510500,中证500ETF
